"date" "web" "bask_vol" "ind" "web_ind" "latency" "space" "sail" "edge_b" "active" "rest_exp" "care_young" "walk"
"28/06/2019" 6 0.15 8 "6_8" 14 "edge_basket" 0 1 1 0 0 0
"27/06/2019" 6 0.15 9 "6_9" 68 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 6 0.15 9 "6_9" 68 "midle_basket" 0 0 0 0 0 0
"28/06/2019" 6 0.15 9 "6_9" 68 "midle_basket" 0 0 0 0 0 0
"28/06/2019" 6 0.15 11 "6_11" 20 "edge_basket" 0 1 1 0 0 1
"27/06/2019" 6 0.15 12 "6_12" 15 "edge_basket" 0 1 0 0 0 0
"27/06/2019" 6 0.15 12 "6_12" 15 "edge_basket" 0 1 0 1 0 0
"28/06/2019" 6 0.15 12 "6_12" 15 "edge_basket" 0 1 0 0 0 0
"27/06/2019" 6 0.15 13 "6_13" 47 "sail" 1 0 1 0 0 1
"28/06/2019" 6 0.15 13 "6_13" 47 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 7 0.19 2 "7_2" 142 "edge_basket" 0 1 0 0 0 0
"27/06/2019" 7 0.19 2 "7_2" 142 "edge_basket" 0 1 1 0 0 1
"27/06/2019" 7 0.19 3 "7_3" 71 "midle_basket" 0 0 0 0 0 0
"28/06/2019" 7 0.19 3 "7_3" 71 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 7 0.19 4 "7_4" 101 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 7 0.19 4 "7_4" 101 "midle_basket" 0 0 0 0 0 0
"28/06/2019" 7 0.19 4 "7_4" 101 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 7 0.19 5 "7_5" 120 "edge_basket" 0 1 0 1 0 0
"27/06/2019" 7 0.19 5 "7_5" 120 "edge_basket" 0 1 0 1 0 0
"28/06/2019" 7 0.19 5 "7_5" 120 "edge_basket" 0 1 0 0 0 0
"27/06/2019" 7 0.19 6 "7_6" 101 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 7 0.19 6 "7_6" 101 "midle_basket" 0 0 1 0 0 1
"28/06/2019" 7 0.19 6 "7_6" 101 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 7 0.19 7 "7_7" 62 "sail" 1 0 0 1 0 0
"27/06/2019" 7 0.19 11 "7_11" 25 "midle_basket" 0 0 1 0 1 0
"27/06/2019" 7 0.19 11 "7_11" 25 "midle_basket" 0 0 1 0 0 1
"28/06/2019" 7 0.19 11 "7_11" 25 "midle_basket" 0 0 1 0 1 0
"28/06/2019" 8 0.07 2 "8_2" 89 "midle_basket" 0 0 0 1 0 0
"27/06/2019" 8 0.07 3 "8_3" 46 "midle_basket" 0 0 0 0 0 0
"28/06/2019" 8 0.07 3 "8_3" 46 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 8 0.07 4 "8_4" 23 "midle_basket" 0 0 0 1 0 0
"28/06/2019" 8 0.07 4 "8_4" 23 "sail" 1 0 1 0 0 1
"27/06/2019" 8 0.07 5 "8_5" 157 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 8 0.07 5 "8_5" 157 "midle_basket" 0 0 0 0 0 0
"28/06/2019" 8 0.07 5 "8_5" 157 "midle_basket" 0 0 0 1 0 0
"27/06/2019" 8 0.07 6 "8_6" 47 "midle_basket" 0 0 0 0 0 0
"28/06/2019" 8 0.07 6 "8_6" 47 "sail" 1 0 1 0 0 1
"27/06/2019" 8 0.07 7 "8_7" 18 "sail" 1 0 0 1 0 0
"27/06/2019" 8 0.07 7 "8_7" 18 "sail" 1 0 1 0 0 1
"27/06/2019" 8 0.07 8 "8_8" 49 "sail" 1 0 1 0 0 1
"28/06/2019" 8 0.07 8 "8_8" 49 "sail" 1 0 1 0 0 1
"27/06/2019" 8 0.07 9 "8_9" 60 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 8 0.07 11 "8_11" 46 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 8 0.07 11 "8_11" 46 "midle_basket" 0 0 0 0 0 0
"28/06/2019" 8 0.07 11 "8_11" 46 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 9 0.18 1 "9_1" 80 "midle_basket" 0 0 1 0 0 0
"27/06/2019" 9 0.18 1 "9_1" 80 "midle_basket" 0 0 0 0 0 0
"28/06/2019" 9 0.18 1 "9_1" 80 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 9 0.18 2 "9_2" 42 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 9 0.18 2 "9_2" 42 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 9 0.18 3 "9_3" 140 "edge_basket" 0 1 0 1 0 0
"27/06/2019" 9 0.18 3 "9_3" 140 "edge_basket" 0 1 0 1 0 0
"28/06/2019" 9 0.18 3 "9_3" 140 "edge_basket" 0 1 0 1 0 0
"27/06/2019" 9 0.18 4 "9_4" 35 "sail" 1 0 0 1 0 0
"27/06/2019" 9 0.18 4 "9_4" 35 "sail" 1 0 0 1 0 0
"27/06/2019" 9 0.18 5 "9_5" 86 "edge_basket" 0 1 0 0 0 0
"27/06/2019" 9 0.18 5 "9_5" 86 "edge_basket" 0 1 0 0 0 0
"28/06/2019" 9 0.18 5 "9_5" 86 "edge_basket" 0 1 0 0 0 0
"27/06/2019" 9 0.18 7 "9_7" 76 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 9 0.18 7 "9_7" 76 "midle_basket" 0 0 0 0 0 0
"28/06/2019" 9 0.18 7 "9_7" 76 "midle_basket" 0 0 0 0 0 0
"28/06/2019" 9 0.18 8 "9_8" 59 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 9 0.18 10 "9_10" 49 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 9 0.18 10 "9_10" 49 "midle_basket" 0 0 0 0 0 0
"28/06/2019" 9 0.18 10 "9_10" 49 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 9 0.18 12 "9_12" 85 "midle_basket" 0 0 1 0 0 0
"27/06/2019" 9 0.18 12 "9_12" 85 "midle_basket" 0 0 0 0 0 0
"28/06/2019" 9 0.18 12 "9_12" 85 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 9 0.18 13 "9_13" 84 "sail" 1 0 0 1 0 0
"28/06/2019" 9 0.18 13 "9_13" 84 "edge_basket" 0 1 0 0 0 0
"27/06/2019" 9 0.18 14 "9_14" 32 "sail" 1 0 0 1 0 0
"27/06/2019" 9 0.18 14 "9_14" 32 "sail" 1 0 0 1 0 0
"28/06/2019" 9 0.18 14 "9_14" 32 "sail" 1 0 0 1 0 0
"27/06/2019" 10 0.36 1 "10_1" 16 "edge_basket" 0 1 0 1 0 0
"27/06/2019" 10 0.36 1 "10_1" 16 "sail" 1 0 1 0 0 1
"28/06/2019" 10 0.36 1 "10_1" 16 "edge_basket" 0 1 0 1 0 0
"27/06/2019" 10 0.36 2 "10_2" 23 "midle_basket" 0 0 1 0 1 0
"27/06/2019" 10 0.36 2 "10_2" 23 "midle_basket" 0 0 1 0 1 0
"28/06/2019" 10 0.36 2 "10_2" 23 "midle_basket" 0 0 1 0 1 0
"27/06/2019" 10 0.36 3 "10_3" 43 "edge_basket" 0 1 0 0 0 0
"27/06/2019" 10 0.36 3 "10_3" 43 "edge_basket" 0 1 0 0 0 0
"28/06/2019" 10 0.36 3 "10_3" 43 "edge_basket" 0 1 0 0 0 0
"27/06/2019" 10 0.36 4 "10_4" 39 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 10 0.36 4 "10_4" 39 "midle_basket" 0 0 0 0 0 0
"28/06/2019" 10 0.36 4 "10_4" 39 "sail" 1 0 1 0 0 1
"27/06/2019" 10 0.36 5 "10_5" 18 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 10 0.36 5 "10_5" 18 "midle_basket" 0 0 0 0 0 0
"28/06/2019" 10 0.36 5 "10_5" 18 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 10 0.36 7 "10_7" 34 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 10 0.36 7 "10_7" 34 "midle_basket" 0 0 0 0 0 0
"28/06/2019" 10 0.36 7 "10_7" 34 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 10 0.36 10 "10_10" 25 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 10 0.36 10 "10_10" 25 "midle_basket" 0 0 0 0 0 0
"28/06/2019" 10 0.36 10 "10_10" 25 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 10 0.36 13 "10_13" 64 "midle_basket" 0 0 1 0 1 0
"27/06/2019" 10 0.36 13 "10_13" 64 "midle_basket" 0 0 1 0 1 0
"28/06/2019" 10 0.36 13 "10_13" 64 "midle_basket" 0 0 1 0 1 0
"27/06/2019" 11 0.17 1 "11_1" 172 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 11 0.17 1 "11_1" 172 "midle_basket" 0 0 0 0 0 0
"28/06/2019" 11 0.17 1 "11_1" 172 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 11 0.17 2 "11_2" 153 "midle_basket" 0 0 1 0 0 0
"27/06/2019" 11 0.17 2 "11_2" 153 "midle_basket" 0 0 0 0 0 0
"28/06/2019" 11 0.17 2 "11_2" 153 "midle_basket" 0 0 0 0 0 0
"27/06/2019" 11 0.17 3 "11_3" 47 "sail" 1 0 0 1 0 0
"28/06/2019" 11 0.17 4 "11_4" 76 "edge_basket" 0 1 0 0 0 0
"27/06/2019" 11 0.17 5 "11_5" 28 "sail" 1 0 1 0 0 1
"27/06/2019" 11 0.17 5 "11_5" 28 "edge_basket" 0 1 0 1 0 0
"27/06/2019" 11 0.17 6 "11_6" 131 "edge_basket" 0 1 0 0 0 0
"28/06/2019" 11 0.17 6 "11_6" 131 "edge_basket" 0 1 0 0 0 0
"27/06/2019" 11 0.17 7 "11_7" 70 "sail" 1 0 0 1 0 0
"27/06/2019" 11 0.17 8 "11_8" 45 "sail" 1 0 1 0 0 1
